Trial,Bandit,Reward,Cumulative_Reward,Cumulative_Regret,Algorithm
19045,3,3.3633,76060.4830,119.5170,ThompsonSampling
19046,3,4.0149,76064.4979,119.5021,ThompsonSampling
19047,3,4.4112,76068.9091,119.0909,ThompsonSampling
19048,3,3.5561,76072.4652,119.5348,ThompsonSampling
19049,3,2.7937,76075.2588,120.7412,ThompsonSampling
19050,3,5.8247,76081.0836,118.9164,ThompsonSampling
19051,3,3.6673,76084.7508,119.2492,ThompsonSampling
19052,3,3.8305,76088.5813,119.4187,ThompsonSampling
19053,3,2.8857,76091.4670,120.5330,ThompsonSampling
19054,3,3.1726,76094.6396,121.3604,ThompsonSampling
19055,3,3.9114,76098.5510,121.4490,ThompsonSampling
19056,3,3.1496,76101.7007,122.2993,ThompsonSampling
19057,3,6.0917,76107.7924,120.2076,ThompsonSampling
19058,3,1.2721,76109.0644,122.9356,ThompsonSampling
19059,3,2.9022,76111.9667,124.0333,ThompsonSampling
19060,3,3.9287,76115.8953,124.1047,ThompsonSampling
19061,3,3.4798,76119.3751,124.6249,ThompsonSampling
19062,3,2.9047,76122.2798,125.7202,ThompsonSampling
19063,3,3.6670,76125.9468,126.0532,ThompsonSampling
19064,3,4.0863,76130.0330,125.9670,ThompsonSampling
19065,3,5.2078,76135.2409,124.7591,ThompsonSampling
19066,3,5.5940,76140.8349,123.1651,ThompsonSampling
19067,3,3.8711,76144.7060,123.2940,ThompsonSampling
19068,3,4.0208,76148.7268,123.2732,ThompsonSampling
19069,3,3.7601,76152.4869,123.5131,ThompsonSampling
19070,3,5.2950,76157.7818,122.2182,ThompsonSampling
19071,3,3.9773,76161.7591,122.2409,ThompsonSampling
19072,3,3.7592,76165.5184,122.4816,ThompsonSampling
19073,3,5.0040,76170.5224,121.4776,ThompsonSampling
19074,3,3.4805,76174.0028,121.9972,ThompsonSampling
19075,3,4.2342,76178.2370,121.7630,ThompsonSampling
19076,3,2.5727,76180.8097,123.1903,ThompsonSampling
19077,3,1.8046,76182.6143,125.3857,ThompsonSampling
19078,3,2.1867,76184.8010,127.1990,ThompsonSampling
19079,3,3.3932,76188.1942,127.8058,ThompsonSampling
19080,3,3.8745,76192.0687,127.9313,ThompsonSampling
19081,3,4.8229,76196.8916,127.1084,ThompsonSampling
19082,3,3.8738,76200.7654,127.2346,ThompsonSampling
19083,3,3.7255,76204.4909,127.5091,ThompsonSampling
19084,3,3.2016,76207.6925,128.3075,ThompsonSampling
19085,3,3.1349,76210.8274,129.1726,ThompsonSampling
19086,3,4.0144,76214.8418,129.1582,ThompsonSampling
19087,3,2.4461,76217.2879,130.7121,ThompsonSampling
19088,3,2.9182,76220.2061,131.7939,ThompsonSampling
19089,3,5.0739,76225.2800,130.7200,ThompsonSampling
19090,3,3.5959,76228.8759,131.1241,ThompsonSampling
19091,3,4.3805,76233.2564,130.7436,ThompsonSampling
19092,3,3.6960,76236.9523,131.0477,ThompsonSampling
19093,3,3.8164,76240.7687,131.2313,ThompsonSampling
19094,3,3.9011,76244.6698,131.3302,ThompsonSampling
19095,3,3.3729,76248.0427,131.9573,ThompsonSampling
19096,3,4.7298,76252.7725,131.2275,ThompsonSampling
19097,3,4.4918,76257.2643,130.7357,ThompsonSampling
19098,3,3.6406,76260.9050,131.0950,ThompsonSampling
19099,3,4.2325,76265.1374,130.8626,ThompsonSampling
19100,3,3.8702,76269.0076,130.9924,ThompsonSampling
19101,3,4.4516,76273.4592,130.5408,ThompsonSampling
19102,3,4.9045,76278.3637,129.6363,ThompsonSampling
19103,3,4.0363,76282.4000,129.6000,ThompsonSampling
19104,3,4.8854,76287.2853,128.7147,ThompsonSampling
19105,3,5.6976,76292.9829,127.0171,ThompsonSampling
19106,3,5.0108,76297.9937,126.0063,ThompsonSampling
19107,3,2.0749,76300.0686,127.9314,ThompsonSampling
19108,3,4.1789,76304.2476,127.7524,ThompsonSampling
19109,3,5.5554,76309.8030,126.1970,ThompsonSampling
19110,3,3.5436,76313.3467,126.6533,ThompsonSampling
19111,3,3.3741,76316.7208,127.2792,ThompsonSampling
19112,3,4.4458,76321.1666,126.8334,ThompsonSampling
19113,3,4.5831,76325.7497,126.2503,ThompsonSampling
19114,3,4.3231,76330.0728,125.9272,ThompsonSampling
19115,3,4.1498,76334.2226,125.7774,ThompsonSampling
